time;;;bed1;;;bed2;;;bed3;;;bed4;;;bed1_lp;;;bed2_lp;;;bed3_lp;;;bed4_lp;;;eq_left;;;ecg;;;meds;;;phone;;;people_together
0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
1;;;2;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
2;;;0;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;2;;;[{0, 1}]
3;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;2;;;[{0, 1, 3}]
4;;;0;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;2;;;[{0, 1, 3}]
5;;;0;;;0;;;1;;;2;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;[{0, 2, 3}]
6;;;0;;;0;;;1;;;2;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
7;;;0;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;[{0, 1, 2}]
8;;;0;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;[]
9;;;1;;;0;;;2;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
10;;;1;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
11;;;0;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1, 2}]
12;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1, 2}]
13;;;0;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1, 2}]
14;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1, 2}]
15;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1, 2}]
16;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1, 2}]
17;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1, 2}]
18;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1, 2}]
19;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1, 2}]
20;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1, 2}]
21;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1, 2}]
22;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1, 2}]
23;;;0;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1, 2}]
24;;;0;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1, 2}]
25;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1, 2}]
26;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1, 2}]
27;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1, 2}]
28;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
29;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
30;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
